userid,username,follower,datasource
1003465579578249216,KaRim🌜,305,twitter
1108421933996007429,once - ler,8,twitter
773583285297569792,Ahmed elzohery ✪,231,twitter
3226491141,Misántropo,642,twitter
1029925098889863168,Vatti.T (Hobi's AYO in Mikrokosmos),95,twitter
892890557617491971,Kyle Moyer,103,twitter
1059024798,Thomas A. Stockman,107,twitter
205444414,Rob Murphy,73,twitter
2876616999,Sotuminu Opeyemi,94,twitter
1104354791415783424,Maher.,1172,twitter
155991794,RaeisReal 👽🔥,797,twitter
763387438525997056,Jacob's Bot,40,twitter
455288787,A. Abdullah,167,twitter
4017884532,stevie,104,twitter
1083437368873533441,spaceman_spliff,11,twitter
58068584,Deb Bratthauer,37,twitter
754971443943895040,ENGİN💫,4523,twitter
173113740,KUKUTE,3860,twitter
808874124093378566,Lewis Goldberg,273,twitter
936623765634547712,I Heard You Paint Houses aka The Irishman,98,twitter
1018522680671326209,KazPharma,4542,twitter
18826101,Cameron Mortenson,6266,twitter
1068403263551217664,Tyler's Raspberry Pi,2,twitter
257037100,Jerie kelvin,440,twitter
3433130434,Outsidethe86,19,twitter
454713765,S o n n y,508,twitter
498357863,momo1,68,twitter
231612484,sleepy but woke,419,twitter
2986814044,Nadeem Ahmedzai 🇵🇰,7381,twitter
63455353,Tundun,2507,twitter
1046451702,Actor Trivia,112666,twitter
182467615,THE LIGHTWERKERZ💙,9140,twitter
749286393558474752,Cargo Short Appreciation Network,67,twitter
894830293,safia,2289,twitter
2383776464,APC GHANA CHAPTER 🇳🇬🇬🇭 #NEXTLEVEL,5666,twitter
281998968,Beth Bryson,3786,twitter
935299209271676928,Movie Mash-Up BOT,7,twitter
751710756,Dempsey Bullock,43,twitter
1098245059672244225,hidai,114,twitter
96699230,Corey,274,twitter
430134212,Detroit Blu3,22,twitter
1107065812899241984,Joanne,17,twitter
1070749393597419520,Craig Beckett,46,twitter
105201616,StrizzY!,322,twitter
1064922407314644992,pawstixs,10,twitter
79265441,AFHU,8708,twitter
44852410,Joe Alessi,1460,twitter
723516331,nombweee,243,twitter
1075518204036960257,Tuğ baba,61,twitter
930134237461692416,Sourav Pattanaik,45,twitter
2798418183,Mustafa Esen,142,twitter
1114205419994480640,WbMafia19,457,twitter
1425642786,FishingSoc,1101,twitter
1109904568920522752,Harper Lacey,5,twitter
3318956413,Karla 🤙🏽,805,twitter
74729333,Matthew Vose,554,twitter
821424564748120064,Anti Godfather,291,twitter
30602412,F  K  B  $,772,twitter
1112483820664750082,fate,42,twitter
2918421771,Idearium,632,twitter
725414211870986244,ninjalibrarian,642,twitter
454047437,Philip Obin,55059,twitter
1162687218,APC Nigeria,947695,twitter
1076604854754263041,Kerstin Bernholz,54,twitter
799388911751417856,Alexia Friedenreich,2,twitter
1376294275,Ololade,154,twitter
3242095361,sweezy leflop,499,twitter
175668945,Tokunaga Kizamu,1529,twitter
2495780647,Gustavo,482,twitter
365947965,life is not givingup,1262,twitter
988345535479341056,abubakar suleiman ib,268,twitter
182565182,Jarid Blackburn 💪🙏💛✌🇺🇸,1357,twitter
395797909,Connah Thompson,283,twitter
101696054,Chris Carey,724,twitter
2862978483,TeeT,4,twitter
1486870556,tori❤️,147,twitter
948975169686720513,Abdul Jabbar Khan,3705,twitter
1081881804427079680,NU Naa,0,twitter
12919422,Angela Quinton,574,twitter
1067068690259238914,letstalkSHIELD,195,twitter
183711743,Sabena Siddiqi,34789,twitter
4629959176,Lenveig,1,twitter
14605668,sqpn,2876,twitter
207051312,Dave Norris,2658,twitter
989766630434525184,Qhama-ni Tobela Tshicila,4138,twitter
4540193480,Strict Liability,2345,twitter
1065965142574194689,Cheezy~,35,twitter
1088068075843313665,zild,73,twitter
854316276772093953,ˢᴴᴵᴺᴵᴺᴳ ᴮᴿᴵᴳᴴᵀ...[BOYWITHLUV],689,twitter
588736348,Declan McElroy,223,twitter
942063392612868096,Alexandra Jean,54,twitter
49667337,Nana Jovaun Kwame,122,twitter
1016759487728742400,celine,136,twitter
1104975632356777984,Right,25,twitter
99910970,Nisrin Wafer,336,twitter
1120340114260013056,Born In The Cave And Never Left,1,twitter
824491604,Briana Dougherty,452,twitter
952293073,FedEx Help,39070,twitter
1000690093315670016,msap 💚/ #HelloLoveGoodbye,51,twitter
402495910,yana,386,twitter
1161092814,xShases,4011,twitter
870817386,jason smith,42,twitter
780085322403250177,Mansa Musa,312,twitter
1006558200903163904,ada 🌷,195,twitter
2439388183,Бугимен,146,twitter
1390775024,Max,510,twitter
241508843,Horatio Isambard 🛡️,144,twitter
556434298,Alexa Garbarino,926,twitter
859214172084514817,kiana,87,twitter
2779670167,Kowabunga Kiersten,311,twitter
886352772924416000,Are _ ya_listening,209,twitter
1088086842858237952,"Sanjay Singh, PhD",69,twitter
577463593,kish,306,twitter
963514406,Taylor Lane,1784,twitter
484456795,♡ D-17 ♡,127,twitter
3686304073,It's Me Raine,74,twitter
16000711,Monica Ponder,12431,twitter
461186881,Arya V 🍂,285,twitter
1065875467197005825,Nikki Glan Kyla Navarro,15,twitter
146801804,NCB Radio,2284,twitter
955396994,sam,8314,twitter
3341399074,Shell,227,twitter
475734072,Kgowa,94,twitter
535148549,Angela Oktaviany,218,twitter
35529614,p r o m i s e d .,859,twitter
2597067764,mar,1755,twitter
921164473,Poor Substitute for Publius,384,twitter
522357362,khaleesi,758,twitter
492865917,michael martinez,78,twitter
3176881718,Pedro Larocca,49,twitter
751430681507618820,MacKenzie-Childs,1930,twitter
228484869,zoubeir hajeb,53,twitter
101739931,Kumar,304,twitter
22209060,LP,49,twitter
554580503,Lula 🥑,277,twitter
1110503169547792384,Tyler,98,twitter
979921169372536832,Poonam,2,twitter
494303837,che,9790,twitter
3091790325,Skeeduu,3626,twitter
286597905,Mae 👩🏻‍🏫,822,twitter
3065867565,Mr Yen,7700,twitter
243461398,John D. 🌹,210,twitter
890677874,Fashola Oladayo,296,twitter
1081260361200926723,PublicWins,111,twitter
871153307280039936,OfDonald,335,twitter
901841276353388544,Sivaji VC Ganesan - God's own Creation.,179,twitter
14558164,Scott S. Semester,2363,twitter
297649561,Sharpie100,1775,twitter
1023542200448122885,🐋ลาพักร้อนไปว่ายน้ำกับวาฬ🐋,7,twitter
631270850,g man,3299,twitter
3219416676,Stephen Hopkins,429,twitter
3167462686,Jason firth,22,twitter
1048294362906615808,averyy collins,8,twitter
809942117409755136,victor and andreas lemme talk to you,39,twitter
2851796176,🌸Zee baby🌸,659,twitter
1048827643808776192,HELENJK,151,twitter
901519784315150336,iconic,97,twitter
451146277,CeceandRiri,233,twitter
1668270211,Center4ActiveDesign,3197,twitter
2688148651,Airbnb Help,73560,twitter
1025003231838187521,Jay,8,twitter
3267826987,AniiLia @hiatus?,126,twitter
516989728,Luke Gentle,1378,twitter
733771657056227330,isabela,861,twitter
242768937,Oluwakemi ❣️,2719,twitter
984681194146025472,It's time to refresh my mind,251,twitter
1101688256,•,5666,twitter
3885961092,Ayezuhhhh,166,twitter
3362163293,Here For The Memez,17,twitter
756467727292694528,The Antisocialite,3,twitter
69941515,Victoria,264,twitter
4701313152,Muhammad Aldy Bryan Ramadan,75,twitter
2752241902,Curt Oglesbee,1120,twitter
353419774,Boo Rowdy 🎮,60,twitter
1066827239088631808,laura,105,twitter
1132291458,Innovation Quarter,2606,twitter
315289710,N.,508,twitter
3066033771,John Parker,856,twitter
18832786,David Bedwell,2705,twitter
3240727462,Frame Rated,853,twitter
69225319,reza caco,289,twitter
601649644,💀RONALD💀,321,twitter
1085104465949147137,𝔫𝔞𝔡𝔦𝔞 ⋆ 🥄,375,twitter
1491081,Igal Tabachnik,4971,twitter
1111966467803643906,noir,0,twitter
747263525970665474,Parth Marathe,364,twitter
1097536062346293252,Gwen Stacy,0,twitter
155685870,Samuel Gavin,1178,twitter
972751759398469632,RE-D 💜 RM,11,twitter
165156303,💜 Reeby Ⓥ 💜,107,twitter
470682843,#gary,1220,twitter
804680829687382016,Movies,1682,twitter
90123499,Dee,221,twitter
619685327,RSYNFKRYHWL,212,twitter
251984180,マシュー,597,twitter
78640139,Jessica Herrera,152,twitter
2799673696,Mark Thurgood,103,twitter
375523823,아소/아노디,90,twitter
3888507977,Frog In A Jar,178,twitter
80940944,Paul Bullock,3375,twitter
2996841308,hasang,382,twitter
2436183247,ジョージン@サバピザ職人,75,twitter
2833729800,𝕣𝕪𝕠𝕘𝕒⚭,19589,twitter
563148431,WelliXL,900,twitter
2709283939,Yusuf Rahman,137,twitter
761829570,franine小枫,25,twitter
129959463,Christopher Collins,169,twitter
64147206,apllu 🍏🍎,158,twitter
731532370541744128,⚡Nicolas™⚡ 我在這場比賽中是個糟糕的球員,128,twitter
48271528,#BucinPromoDanCashback,801,twitter
177343316,Dads Talking,9591,twitter
2815602727,Pixels4Kids,5242,twitter
2915719642,Achille,34,twitter
35211738,WG,788,twitter
588540371,Francc(E),2190,twitter
99176195,Brandon Robertson,85,twitter
119091603,Dad Revolution,8116,twitter
70786076,Carlos Argüelles,228,twitter
161923957,nobu,751,twitter
258709943,Amzn UK Charts,135,twitter
859289463733669888,ⓘⓐⓝ,62,twitter
1642821786,maki☆TDCﾐﾗﾝﾀﾞ,376,twitter
3245043006,träsh™,195,twitter
803981117351002112,AYE-DEN🔊,2036,twitter
269586248,和刃(かずは)@,552,twitter
715143182107840512,Tetsurou Nigou,237,twitter
445099371,Eca,319,twitter
775827078,Pierrick,443,twitter
2395443432,Lex 🇿🇼,97,twitter
576738221,˗ˏˋ Indah Desi Fitriyani ˎˊ˗,774,twitter
935313666,#JusticeLeagueDefinitiveCut,247,twitter
1949871841,jambo-ree,203,twitter
1107675817608445952,PenarthNubNews,104,twitter
1115905410773540865,Lauren,9,twitter
875762508,Mahaou,849,twitter
3247608577,HOOQ Thailand,105,twitter
1050489640589901825,ROMEOS HOT SPOT INTERNATIONAL,18,twitter
3016874118,ayumu.★MARVEL❤,1002,twitter
1514579976,Fopp Covent Garden,4966,twitter
2874752035,Tomoki.N.,507,twitter
762962665606000640,田🌱,277,twitter
999816328021200896,☄️ M.D,126,twitter
618483205,solty@社畜始めました,406,twitter
2901325268,カトケン,469,twitter
1032284816258080768,SarahD_eXPD8,43,twitter
2340431371,カンナ！⚡️,6032,twitter
219190103,Dulzizul,359,twitter
967677564427948037,Zafer Ataoğlu,10,twitter
811289646906900482,Chris Bailey-Green,107,twitter
1109613515403223041,JustUs League,136,twitter
129115961,Felixie the Cat🤓🤠,1116,twitter
976453300253003778,Rigoletto,152,twitter
818936365190619136,dabiggapicture,276,twitter
3374126355,Mikael Karlsson,167,twitter
43625551,Janet Horvath,7803,twitter
586379941,Artur Hulu 🏛,3222,twitter
3407440371,Anika,2088,twitter
1057232299824078848,AMON(NET PROMOTION Ver.),416,twitter
17292561,Enron Hubbard,268,twitter
1015735385492684800,UmFilmeDe,82,twitter
1020001896554225664,lotte jørgensen,696,twitter
816976951537762304,Left or Right Foot,1246,twitter
775018086642569218,((( ✥ Kveldulf ن )))🇫🇮🗽🇺🇸,284,twitter
1081977542138085376,S Uzzell ⭐#1 Amazon Charts Bestselling Novel,1372,twitter
3134158373,Chris Newman,7656,twitter
742176324567977984,EJ Novic,103,twitter
1845164558,David Leyonhjelm,19755,twitter
94163631,Horace Von Bogtrotta,405,twitter
838479194392678401,Peter Whelan,236,twitter
1492906694,リーアム・ニーソン画像bot,1741,twitter
3258079877,BURAKtheDESCARTES,316,twitter
3118252168,Ttr Burner Phone,236,twitter
15898250,Fulk FitzWarin,569,twitter
258962834,SchnableApe🐸,405,twitter
885986391531765760,Weston Prices,334,twitter
746515873406590976,مُبَرّا,6019,twitter
1069517301693784064,whistlemaker♪♬,151,twitter
1106172991879217153,Ethan Pomeroy,5,twitter
2721333182,Floriography by Vera,315,twitter
1723487467,It's Simply Cake,87,twitter
2843928468,Humanities,753,twitter
936529081,luca mellano,118,twitter
39723046,Mologadi,270,twitter
3021999093,Lily Von Schtupp,564,twitter
363889683,Vapensamlaren,283,twitter
755195911819722752,Matt,1180,twitter
1095229779022893058,altChritchen,0,twitter
852544764973113345,ZZSS🇵🇱,311,twitter
977366530487828480,Bodie B,44,twitter
899982295,Opryd,474,twitter
3613555641,Aus Gov Gun Facts™,2399,twitter
3314339294,𝑩𝒂𝒊𝒘𝒚 🍑🍓🍎,265,twitter
542283680,saltmedia,4546,twitter
1563558049,RN,14302,twitter
631531391,Berber Ox,80,twitter
39721831,Alison Gordon🏴󠁧󠁢󠁳󠁣󠁴󠁿🤖👾,3112,twitter
4319406565,uriel,34,twitter
1112242985960259585,wook,113,twitter
3180141189,CarlosAnaC,1217,twitter
1700191056,Wagner,148,twitter
636754581,“I kinda dig the whole thing.” 💚💙🐚❤️,728,twitter
940867947404365830,KareBearScare,643,twitter
743807042389827584,麻婆元年,13,twitter
15451129,Sir Ridley Scott's 'Black Rain' Defender,647,twitter
2308344296,Yuki Harusaki,14,twitter
748835305390768128,Guru v4.0™,1077,twitter
2319220304,Tortuga,61,twitter
2448318366,「🌸🐰🌸ⓜみⓤゆⓚき🌸🐰🌸」,499,twitter
16732211,bed stuy guy,2164,twitter
32770468,Killian Walsh,873,twitter
958676125214965762,Robert Boily,4,twitter
932686208718856198,かおり ~,303,twitter
1025727150,edith.香港,130,twitter
1834487857,Geoff Winkless #FBPE,2318,twitter
120099656,Scott Sweeney,313,twitter
133424369,Diana M,120,twitter
742877717444632576,Uncle Flapjacks,830,twitter
34857650,Jonathan Holmes,558,twitter
2835964669,finalzack,77,twitter
350415510,Isabella Garcia,389,twitter
304368101,sven,258,twitter
2237418808,PK Conred🚾 ‏,221,twitter
150451993,blond cutie,323,twitter
3379361475,MEJIBRAYが大好きです,628,twitter
243775901,Anthony Atlas,546,twitter
726950470808260609,Ben Samsone,16,twitter
721014397,jan lindblom,28,twitter
19935956,David Morgan,152,twitter
20023994,Pepe Silvia,21,twitter
1008700580,DeSwanDaQuarterBlack,438,twitter
2243676689,William Hronis,218,twitter
1108344320363499520,Doreen C. Reagan,9,twitter
112077926,さちゃぽん,30,twitter
714054367,알 파치노 History,315,twitter
772169374492950528,AHMeDBraKat,5791,twitter
849494899,BD,30,twitter
704910871538098176,Notable Schmuck,257,twitter
51783071,Jaime Young,204,twitter
1069295337083408385,(((Terry Teachout))),5208,twitter
786354703701413888,Johnny L. Bishop,477,twitter
164354823,Ben Mankiewicz,82655,twitter
884553150253985793,Eric Foreman looking motherfucker,27,twitter
130665495,Mr. Reynolds2019,166,twitter
372570563,TheValuesVoter,6117,twitter
977045819583971328,Kerr Avon,36,twitter
544539878,Caitlyn || Gotham spoilers,3092,twitter
1470112345,M. Rossella,67,twitter
996519217200541696,Chris Dohmen,75,twitter
778674388119986177,Stone Gasman,3685,twitter
2646378930,rural baptist pastor doing a sermon on q anon,325,twitter
2782944846,ugustoso,168,twitter
1112547024660905984,pickle rising,73,twitter
34130289,Megan 🥴,113,twitter
1080923936270049281,Penelope Jenson-Smith,38,twitter
1080990045060894721,SillySamanthaisSilly,12,twitter
1332228013,Kevin Smith,34,twitter
963527932499996672,弐,29,twitter
1638015121,Fereidoon Zangeneh,171,twitter
808445410771550210,Adam Sandler’s Oscar for Punch Drunk Love,171,twitter
905043187676348416,surf.brutus,86,twitter
3385956329,BVVysotsky,109,twitter
3138384872,emotional labourer 🌊🌾,358,twitter
945960691323645957,lachlan,47,twitter
288316421,Taylor Chadwick,1014,twitter
760879920704724993,"there is no ash, only zuul 📟",1082,twitter
4735736967,Иуаиьом,359,twitter
437611700,ㅤㅤ ㅤ,1102,twitter
944715236111724545,Helen O. Troy,365,twitter
568604112,Little Chin,1016,twitter
74810826,Bethany Brittany Tiffany Mungus,899,twitter
1081010475184410624,SaharaLovesWater,17,twitter
94333081,Rex Alcairum,336,twitter
754935029348708353,จงเรียกกูว่ามิตซึฮะ,43,twitter
439729472,many,160,twitter
3008635004,Gelato Taco,17,twitter
2979359538,✧* メグ *✧,168,twitter
976457966059626497,blinklisa,9,twitter
1086836027136733185,นารูโตะแบดบอย,0,twitter
3004726331,GHIBLI❤LOVERS❤ROOM❤,801,twitter
116448355,M에이와이XCVII ㅍㅅㅍ,252,twitter
340810899,you ‘re a peach 🍑🌤💜🌈,52,twitter
393488015,Jibi,17,twitter
192530062,ปัง,137,twitter
1726891646,Emilllly,118,twitter
1117245807432884224,แม็กกี้,3,twitter
260156103,"อุดรเกิร์ล , เด คอล มี.",52,twitter
795250209789878272,ปูววววเป้,43,twitter
524000814,Nicincolour™,176,twitter
2887119385,_____,352,twitter
3114573738,suwanasa samyo,25,twitter
456494259,sk,595,twitter
3402163617,Yanmeggo #SobbleSquad,129,twitter
841537727434706944,Lynnmill,36,twitter
2490041953,MIKE BUT MERRY ❄️,273,twitter
474999618,‎|•'-'•)و✧,262,twitter
2701608601,ก้อนโปริ่งกลมๆ ยึยๆ น่ารัก,1041,twitter
701772803524075520,🌸🌸🌸,59,twitter
836648277256855552,gab 🌙,143,twitter
998966557526167554,Alexandra mate,26,twitter
753473814,mm,67,twitter
808688048066084864,Defso,2,twitter
729342283191975936,Darkchocolate,10,twitter
812963290095624196,fewlyss🌻🌈✌🏻,14,twitter
2768942568,.ammeterr,62,twitter
1947474342,BENDAILYDAY,93,twitter
1030506556020805632,𝑙𝑎𝒔𝑡 𝑑𝑎𝑦,6,twitter
24648767,Vanessa Hope 葛靜雯,3423,twitter
1313728998,🐶🐰,33,twitter
716116109611524096,นู๋เปียกศรี,6,twitter
4351893198,jirattiyafah,28,twitter
2839066388,Bumble•y ☄,16,twitter
455944415,Joe Seamark,450,twitter
577647384,Tom Middleton,15,twitter
1097231021614002176,lud_pjl,5,twitter
1114945154,S'bridgeCyclingClub,238,twitter
2373430987,RSailingTeam,287,twitter
1554298171,Classic Regatta,1452,twitter
1027970276,Hinderyckx Thomas,778,twitter
3150824276,Transpac,1194,twitter
103810916,Brillanté el Matador aka Dividend Papi,2711,twitter
1884089960,Scott Gregory,687,twitter
2172538184,Kira Lewis 🍞🌹,1290,twitter
952375024324837376,Arcady Vineyard Bed & Breakfast,17,twitter
2451331121,👸🏿♊️,1092,twitter
581037609,Shiraz Haq,205,twitter
1080069979016445952,The Golfcourse Cartographer,30,twitter
1617966620,bob betke,348,twitter
756313509969920001,بسيوني,3780,twitter
843413553558290432,WEPTowerHamlets,464,twitter
296243071,Steve Banting,208,twitter
84637456,David Brookes,99,twitter
2896324930,Brenda Stewart,300,twitter
3378470217,Darryl Waterhouse,447,twitter
250906558,Michelle Lindsey,220,twitter
279461495,Stefan McMachan,995,twitter
59922339,Luis Beto Dominguez,50,twitter
3088445932,LV,308,twitter
908633735809110016,Milly Jamieson 🥰,648,twitter
409182259,Kaddi カッディー 🎀,19245,twitter
736257472613220352,Salma Hesham ElGamal,708,twitter
715297273018712064,Abdelkhalek,470,twitter
991459376379645952,زهرة,291,twitter
1019212616630177792,Jack D 🌹,16358,twitter
757346456,طوووخِيٌّ,610,twitter
3243392073,Daniel Harris,372,twitter
797435488944717824,.,83,twitter
855279825023516673,Kinga,53,twitter
946084630016356352,Manish | #MI 🇮🇳,148,twitter
1193824519,Student vdb ⵣ,148,twitter
3098976320,Gabbie,170,twitter
712824936503517184,м𝕠͎,114,twitter
1702599216,UK Christmas TV,3186,twitter
4872526121,CLASSIC MOVIES DAILY,5500,twitter
149262055,Eymar,395,twitter
2262529414,kate👸🏼,741,twitter
2665008667,Ed Loy,301,twitter
237332694,🍒,1574,twitter
795298354951503872,serap🇹🇷,187,twitter
857966851674038276,LovelyLei🥰,532,twitter
2895260905,aLLeGRa:),1481,twitter
943982214882226181,TayyzR,17,twitter
94846758,dmc✨,149,twitter
93120115,Tori,1401,twitter
14346159,Marvin the Android,677,twitter
2881482190,Jesse,866,twitter
518891187,Aust,515,twitter
454498680,JP Cochran,369,twitter
217938521,Yoopla Pla,39,twitter
18794052,♡,158,twitter
1014376434780041216,CheleMyBelle,66,twitter
261879784,♡ Də§įřæ ♡,319,twitter
18417986,VocalLizzy,1352,twitter
1080916448954982412,nay 🍫👸🏾,157,twitter
26163880,Jerry Buxton / Paula,109,twitter
720655669813075968,Glenn Hamm,74,twitter
591629885,M I C A N🥀,1279,twitter
323614633,I STILL BEAT THO 🇵🇭,1500,twitter
188159610,Me,34,twitter
1884788370,deus ex bomba,148,twitter
271665548,CllrCharmaine Morgan,1307,twitter
21469183,Casey Jennings,140,twitter
4720174400,Kaitlyn,30,twitter
490789660,Louisville Noms,4796,twitter
896276775784894464,ELIZABETH,118,twitter
450799993,wmutahi,138,twitter
840571849553661952,Edward Hauck,55,twitter
108482054,DJ🎭,842,twitter
1046526690871181313,Mike greenback rattler yumyum,578,twitter
1022584866465099778,Rawnd☻,36,twitter
732565740956487680,Yo Man Fav DJ😉,3175,twitter
44456765,Zach,123,twitter
505572274,Watch The Iron Throne,250,twitter
527244915,av,17,twitter
1413691159,IamYoungFish,107,twitter
1586599344,Honey 🍯💛,464,twitter
979563456465686528,Rocky.road.ice.cream,493,twitter
1301199392,⛓ 𝙝𝙚𝙡𝙡𝙗𝙤𝙮 ⛓,1009,twitter
706988903324983296,True Ricky Tru,522,twitter
16441397,mfaria11,82,twitter
18020390,Jen Martin🐶,3514,twitter
24873445,amy,283,twitter
1872473106,White Kevin Durant,254,twitter
1058166202273619968,sam wiles,79,twitter
51963115,Krystal,65,twitter
1092215631875923969,♛ high priestess,111,twitter
2270777942,Lucifer,14458,twitter
3033113617,\♡/,313,twitter
